id,title,publication_date,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,url
-9yGTFlIkzY,BNK48 Senpai ep.05 (Part 4),2017-03-10T09:44:08.000Z,367149,1832,48,0,95,https://www.youtube.com/watch?v=-9yGTFlIkzY
-HLEvHg5a8w,BNK48 Show EP03 Break03,2017-07-24T06:04:49.000Z,236184,1311,33,0,65,https://www.youtube.com/watch?v=-HLEvHg5a8w
-j-CdY8iuys,BNK48 Trainee｜Natcha Krisdhasima (Oom),2018-11-16T05:45:01.000Z,48098,1835,28,0,173,https://www.youtube.com/watch?v=-j-CdY8iuys
-J43fsyvahk,BNK48 Senpai Special (Part 3),2017-04-30T16:03:34.000Z,279675,2864,48,0,316,https://www.youtube.com/watch?v=-J43fsyvahk
-QdTQDUVTs8,BNK48 Show EP04 Break04,2017-07-31T09:53:25.000Z,377112,2352,73,0,153,https://www.youtube.com/watch?v=-QdTQDUVTs8
-t4Ee33wOWs,เพื่อนร่วมทาง The Journey Ep.05 Part 3,2018-02-09T06:14:45.000Z,104869,1184,29,0,105,https://www.youtube.com/watch?v=-t4Ee33wOWs
_1u5_atalnw,29 Seconds of 29 members #27 : Pupe,2017-05-01T13:08:34.000Z,38335,880,8,0,37,https://www.youtube.com/watch?v=_1u5_atalnw
_eHDMskfNyc,BNK48 Show EP12 Break04,2017-11-20T07:00:01.000Z,486446,2758,49,0,178,https://www.youtube.com/watch?v=_eHDMskfNyc
_ncz1_Cz6hk,Koisuru Fortune Cookie –คุกกี้เสี่ยงทาย– (FAN COMPILATION ver.) / BNK48,2017-12-03T11:00:03.000Z,288428,7978,135,0,739,https://www.youtube.com/watch?v=_ncz1_Cz6hk
_Q8yIyT3WZk,BNK48 Official Live Stream,2017-07-12T13:41:38.000Z,50191,1273,6,0,44,https://www.youtube.com/watch?v=_Q8yIyT3WZk
_UIMrIJUERg,29 Seconds of 29 members #12 : Kidcat,2017-05-01T13:08:39.000Z,25687,365,21,0,21,https://www.youtube.com/watch?v=_UIMrIJUERg
_ZxPQTQkMrQ,BNK48 Show EP8 Break01,2017-09-11T05:00:03.000Z,284816,2770,53,0,199,https://www.youtube.com/watch?v=_ZxPQTQkMrQ
01Fj8yDyXVM,BNK48 Introduction (February 2018),2018-02-08T10:27:07.000Z,203626,6252,96,0,780,https://www.youtube.com/watch?v=01Fj8yDyXVM
0773p4WN1Qg,BNK48 5th Single Information Announcement / BNK48,2018-09-30T14:51:08.000Z,337896,13291,184,0,1492,https://www.youtube.com/watch?v=0773p4WN1Qg
0Fna8Uy-R4Y,BNK48 6th Single Senbatsu General Election – Preliminary Results Announcement / BNK48,2018-12-12T13:11:56.000Z,232188,12320,128,0,3077,https://www.youtube.com/watch?v=0Fna8Uy-R4Y
0niyf7utzbA,29 Seconds of 29 members #05 : Jan,2017-05-01T13:08:42.000Z,57904,1108,10,0,84,https://www.youtube.com/watch?v=0niyf7utzbA
