id,title,publication_date,viewCount,likeCount,dislikeCount,commentCount,url
Zm8KYCa46Ps,"VTR: AKS เปิดตัว ประกาศสร้างวงไอดอลน้องใหม่ BNK48, TPE48 และ MNL48",28/03/2016 12:56 PM,101020,1653,37,245,https://www.youtube.com/watch?v=Zm8KYCa46Ps
tApgSgYxywE,BNK48 Senpai ep.01 (Part 4),1/03/2017 9:54 PM,547112,3454,72,736,https://www.youtube.com/watch?v=tApgSgYxywE
YcqztRx1YAg,BNK48 Senpai ep.01 (Part 2),1/03/2017 9:54 PM,951779,7575,191,951,https://www.youtube.com/watch?v=YcqztRx1YAg
L6HgZqp-ew8,BNK48 Senpai ep.01 (Part 1),1/03/2017 9:54 PM,1347166,9763,320,978,https://www.youtube.com/watch?v=L6HgZqp-ew8
aSw2MyRU-7s,BNK48 Senpai ep.01 (Part 3),1/03/2017 9:54 PM,511290,1970,58,161,https://www.youtube.com/watch?v=aSw2MyRU-7s
NYGS6qXbu_E,BNK48 Senpai ep.02 (Part 4),2/03/2017 9:46 PM,518753,2999,60,385,https://www.youtube.com/watch?v=NYGS6qXbu_E
y1u6RnQbZ4E,BNK48 Senpai ep.02 (Part 3),2/03/2017 9:46 PM,383468,2327,87,344,https://www.youtube.com/watch?v=y1u6RnQbZ4E
7QFHoydr8us,BNK48 Senpai ep.02 (Part 2),2/03/2017 9:46 PM,413439,2876,55,473,https://www.youtube.com/watch?v=7QFHoydr8us
kjqcuAL91Hg,BNK48 Senpai ep.02 (Part 1),2/03/2017 9:46 PM,560929,3536,72,445,https://www.youtube.com/watch?v=kjqcuAL91Hg
ULKIM6nOjo0,BNK48 Senpai ep.03 (Part 2),8/03/2017 1:22 PM,379028,2134,46,109,https://www.youtube.com/watch?v=ULKIM6nOjo0
lvhKEdUyGK0,BNK48 Senpai ep.03 (Part 1),8/03/2017 1:22 PM,437731,2685,55,190,https://www.youtube.com/watch?v=lvhKEdUyGK0
TFdu_jwfzUM,BNK48 Senpai ep.03 (Part 4),8/03/2017 1:22 PM,264455,1600,26,121,https://www.youtube.com/watch?v=TFdu_jwfzUM
rHEJqKy1Ehk,BNK48 Senpai ep.03 (Part 3),8/03/2017 1:22 PM,335704,1927,37,153,https://www.youtube.com/watch?v=rHEJqKy1Ehk
s3ClkMWPMN0,BNK48 Senpai ep.04 (Part 2),9/03/2017 4:36 PM,230666,1268,24,68,https://www.youtube.com/watch?v=s3ClkMWPMN0
WG60D8BjJSY,BNK48 Senpai ep.04 (Part 1),9/03/2017 4:38 PM,295002,2012,33,186,https://www.youtube.com/watch?v=WG60D8BjJSY
XDsXar186ho,BNK48 Senpai ep.04 (Part 3),9/03/2017 4:39 PM,218429,1130,30,83,https://www.youtube.com/watch?v=XDsXar186ho
1a-vsnPGDKk,BNK48 Senpai ep.04 (Part 4),9/03/2017 4:39 PM,235474,1398,24,100,https://www.youtube.com/watch?v=1a-vsnPGDKk
i_hlpsY1q5U,BNK48 Senpai ep.05 (Part 1),10/03/2017 4:28 PM,1578231,11290,334,725,https://www.youtube.com/watch?v=i_hlpsY1q5U
Xi7D4wl_voQ,BNK48 Senpai ep.05 (Part 2),10/03/2017 4:30 PM,655222,3867,94,727,https://www.youtube.com/watch?v=Xi7D4wl_voQ
heVveAkVo8k,BNK48 Senpai ep.05 (Part 3),10/03/2017 4:31 PM,555462,3314,80,186,https://www.youtube.com/watch?v=heVveAkVo8k
-9yGTFlIkzY,BNK48 Senpai ep.05 (Part 4),10/03/2017 4:44 PM,367149,1832,48,95,https://www.youtube.com/watch?v=-9yGTFlIkzY
nFHb-y1SBUs,BNK48 Senpai ep.06 (Part 4),15/03/2017 3:13 PM,322117,1851,50,118,https://www.youtube.com/watch?v=nFHb-y1SBUs
wXfAMN_fvzc,BNK48 Senpai ep.06 (Part 3),15/03/2017 3:13 PM,418613,2542,47,101,https://www.youtube.com/watch?v=wXfAMN_fvzc
rm_skrxii0Y,BNK48 Senpai ep.06 (Part 2),15/03/2017 3:13 PM,429425,2845,50,179,https://www.youtube.com/watch?v=rm_skrxii0Y
dNt_nKa5Z4s,BNK48 Senpai ep.06 (Part 1),15/03/2017 3:13 PM,693755,5334,128,404,https://www.youtube.com/watch?v=dNt_nKa5Z4s
UumbYoTLEVE,BNK48 Senpai ep.07 (Part 4),16/03/2017 2:02 PM,305632,1954,42,164,https://www.youtube.com/watch?v=UumbYoTLEVE
5Gqof1dKNRY,BNK48 Senpai ep.07 (Part 3),16/03/2017 2:02 PM,339505,2022,45,177,https://www.youtube.com/watch?v=5Gqof1dKNRY
Vu9uP3-vV08,BNK48 Senpai ep.07 (Part 2),16/03/2017 2:02 PM,439952,2840,65,174,https://www.youtube.com/watch?v=Vu9uP3-vV08
gDlUgtoFcB0,BNK48 Senpai ep.07 (Part 1),16/03/2017 2:02 PM,714402,5014,143,374,https://www.youtube.com/watch?v=gDlUgtoFcB0
Gz1muenDaIM,BNK48 Senpai ep.08 (Part 4),17/03/2017 4:09 PM,959420,6437,240,454,https://www.youtube.com/watch?v=Gz1muenDaIM
v7cZ4CAzOi8,BNK48 Senpai ep.08 (Part 3),17/03/2017 4:09 PM,256259,1519,34,106,https://www.youtube.com/watch?v=v7cZ4CAzOi8
OzWQW3VxReg,BNK48 Senpai ep.08 (Part 1),17/03/2017 4:09 PM,346658,2077,53,97,https://www.youtube.com/watch?v=OzWQW3VxReg
AxT_Wwr35sI,BNK48 Senpai ep.08 (Part 2),17/03/2017 4:09 PM,264119,1486,26,146,https://www.youtube.com/watch?v=AxT_Wwr35sI
9ZgUs6YuKWw,BNK48 Senpai ep 09 Part 3,22/03/2017 1:55 PM,528260,3623,87,215,https://www.youtube.com/watch?v=9ZgUs6YuKWw
rIB8_gw2Mvw,BNK48 Senpai ep 09 Part 1,22/03/2017 1:55 PM,501305,3401,75,158,https://www.youtube.com/watch?v=rIB8_gw2Mvw
3n_gqCd026Q,BNK48 Senpai ep 09 Part 2,22/03/2017 1:55 PM,336451,2125,48,138,https://www.youtube.com/watch?v=3n_gqCd026Q
Sc4E6PaxxOw,BNK48 Senpai ep 09 Part 4,22/03/2017 1:55 PM,357095,2331,50,143,https://www.youtube.com/watch?v=Sc4E6PaxxOw
7B2ICj97BrY,BNK48 Senpai ep 10 Part 2,23/03/2017 2:00 PM,315031,2038,46,185,https://www.youtube.com/watch?v=7B2ICj97BrY
INsnsCrauXk,BNK48 Senpai ep 10 Part 3,23/03/2017 2:00 PM,255242,1511,32,134,https://www.youtube.com/watch?v=INsnsCrauXk
1dOxPrq68yg,BNK48 Senpai ep 10 Part 1,23/03/2017 2:00 PM,483036,3279,85,137,https://www.youtube.com/watch?v=1dOxPrq68yg
hrBAJaltYeY,BNK48 Senpai ep.11 (Part 4),24/03/2017 2:25 PM,220854,1359,31,72,https://www.youtube.com/watch?v=hrBAJaltYeY
wAg4Q1QhCAM,BNK48 Senpai ep.11 (Part 2),24/03/2017 2:25 PM,379082,2616,65,159,https://www.youtube.com/watch?v=wAg4Q1QhCAM
uIL3_T6gyas,BNK48 Senpai ep.11 (Part 1),24/03/2017 2:25 PM,247017,1541,34,108,https://www.youtube.com/watch?v=uIL3_T6gyas
vRllu01AlTQ,BNK48 Senpai ep.11 (Part 3),24/03/2017 2:25 PM,394328,3118,61,313,https://www.youtube.com/watch?v=vRllu01AlTQ
C2Nk12G0c2g,BNK48 Senpai ep 10 Part 4,25/03/2017 12:04 AM,211773,1377,14,62,https://www.youtube.com/watch?v=C2Nk12G0c2g
2Izh4wHNKGM,BNK48 Senpai ep.12 (Part 4),29/03/2017 2:48 PM,319457,1600,31,62,https://www.youtube.com/watch?v=2Izh4wHNKGM
An8S-S9ynpk,BNK48 Senpai ep.12 (Part 3),29/03/2017 2:48 PM,1119810,9307,209,519,https://www.youtube.com/watch?v=An8S-S9ynpk
QgXeLn_LjX0,BNK48 Senpai ep.12 (Part 2),29/03/2017 2:48 PM,350085,3296,71,246,https://www.youtube.com/watch?v=QgXeLn_LjX0
yHhchikSdwQ,BNK48 Senpai ep.12 (Part 1),29/03/2017 2:48 PM,237569,1823,31,156,https://www.youtube.com/watch?v=yHhchikSdwQ
LKi1zPis_3Q,BNK48 Senpai ep.13 (Part 3),31/03/2017 3:00 AM,337843,2644,58,82,https://www.youtube.com/watch?v=LKi1zPis_3Q
DCqoLx9Pe-g,BNK48 Senpai ep.13 (Part 4),31/03/2017 3:00 AM,235108,1425,34,50,https://www.youtube.com/watch?v=DCqoLx9Pe-g
d9ZCjNlyIhk,BNK48 Senpai ep.13 (Part 1),31/03/2017 3:00 AM,262078,1881,45,111,https://www.youtube.com/watch?v=d9ZCjNlyIhk
IhK2ZPEPdZQ,BNK48 Senpai ep.13 (Part 2),31/03/2017 3:00 AM,178424,1198,14,90,https://www.youtube.com/watch?v=IhK2ZPEPdZQ
3-_MOT8UQDc,BNK48 Senpai Special (Part 1),14/04/2017 12:48 PM,207743,1492,31,94,https://www.youtube.com/watch?v=3-_MOT8UQDc
aVXkn_CJ1Q8,BNK48 Senpai Special (part 2),21/04/2017 12:43 PM,142891,937,16,69,https://www.youtube.com/watch?v=aVXkn_CJ1Q8
3ka3RVkdSHQ,BNK48 Senpai ep.8 Annex (GROUP5),23/04/2017 11:37 AM,62903,739,10,86,https://www.youtube.com/watch?v=3ka3RVkdSHQ
Pm2sj7jlOcc,BNK48 Senpai ep.8 Annex (GROUP4),23/04/2017 11:37 AM,67425,678,19,61,https://www.youtube.com/watch?v=Pm2sj7jlOcc
amBs0BilqlU,BNK48 Senpai ep.8 Annex (GROUP3),23/04/2017 11:37 AM,244732,2233,41,176,https://www.youtube.com/watch?v=amBs0BilqlU
XQujdhmhaUw,BNK48 Senpai ep.8 Annex (GROUP2),23/04/2017 11:37 AM,81005,1081,21,123,https://www.youtube.com/watch?v=XQujdhmhaUw
H7YJVXifTeA,BNK48 Senpai ep.8 Annex (GROUP1),23/04/2017 11:37 AM,60005,692,18,60,https://www.youtube.com/watch?v=H7YJVXifTeA
-J43fsyvahk,BNK48 Senpai Special (Part 3),30/04/2017 11:03 PM,279675,2864,48,316,https://www.youtube.com/watch?v=-J43fsyvahk
f7QG8cEAZd4,29 Seconds of 29 members #29 : Tarwaan,1/05/2017 8:08 PM,45341,889,6,26,https://www.youtube.com/watch?v=f7QG8cEAZd4
m6i6oDSmgyA,29 Seconds of 29 members #28 : Satchan,1/05/2017 8:08 PM,62215,1044,24,38,https://www.youtube.com/watch?v=m6i6oDSmgyA
_1u5_atalnw,29 Seconds of 29 members #27 : Pupe,1/05/2017 8:08 PM,38335,880,8,37,https://www.youtube.com/watch?v=_1u5_atalnw
si7irCmt0RQ,29 Seconds of 29 members #26 : Pun,1/05/2017 8:08 PM,81338,1753,29,64,https://www.youtube.com/watch?v=si7irCmt0RQ
nwRFy64XONU,29 Seconds of 29 members #25 : Piam,1/05/2017 8:08 PM,29182,473,49,20,https://www.youtube.com/watch?v=nwRFy64XONU
fl6SbYkXIgs,29 Seconds of 29 members #24 : Orn,1/05/2017 8:08 PM,53378,944,12,29,https://www.youtube.com/watch?v=fl6SbYkXIgs
